,sofifa_id,height_cm,weight_kg,player_positions,weak_foot,work_rate,body_type,attacking_finishing,attacking_heading_accuracy,attacking_volleys,skill_dribbling,skill_long_passing,movement_reactions,movement_balance,power_stamina,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_sliding_tackle,F,Mid,D,Gk
9679,198690,169,67,2,3,Medium/Low,Normal,57,52,57,71,55,53,88,64,61,45,32,62,65,64,62,17,64.0,61.61538461538461,49.285714285714285,11.2
9680,198740,169,71,2,4,High/High,Normal,51,50,69,71,67,69,80,66,67,58,66,56,65,65,68,66,62.5,66.92307692307692,65.85714285714286,12.2
9681,198840,175,71,2,2,High/Medium,Normal,41,53,36,65,57,64,72,73,70,80,66,63,66,57,69,64,63.5,65.38461538461539,67.0,10.2
9682,198952,184,76,2,3,Medium/Medium,Lean,53,62,55,59,65,60,61,84,67,65,61,57,64,57,67,62,63.0,65.23076923076923,65.28571428571429,10.0
9683,199173,179,66,2,4,High/Medium,Lean,58,52,47,61,60,66,82,88,61,70,62,65,62,57,66,63,64.5,66.6923076923077,67.42857142857143,11.8
9687,199686,175,74,2,3,Low/High,Lean,33,44,36,53,66,72,66,66,48,66,67,52,68,49,72,57,55.5,62.92307692307692,62.42857142857143,9.2
9690,199815,175,70,2,3,Medium/Medium,Normal,58,57,46,62,66,64,75,75,64,68,59,60,65,60,67,61,64.5,65.53846153846153,64.28571428571429,1.0
9692,200369,178,75,2,3,High/High,Normal,56,46,55,65,56,62,67,82,56,70,51,65,58,71,60,48,63.5,63.53846153846154,61.0,10.2
9698,200953,181,79,2,3,Medium/Medium,Normal,59,52,59,65,53,60,71,68,65,74,32,61,61,65,67,57,65.5,61.76923076923077,55.142857142857146,9.8
9699,200983,178,64,2,2,Medium/Medium,Lean,45,55,46,63,66,65,69,75,59,72,62,63,69,47,67,63,62.5,66.0,65.28571428571429,12.0
9706,202518,179,81,2,4,High/Medium,Normal,60,33,58,69,49,61,72,70,72,44,41,60,62,53,68,40,65.0,62.46153846153846,54.714285714285715,13.4
9707,202611,185,78,2,2,Low/Medium,Normal,38,59,29,47,58,62,57,84,36,78,71,40,51,48,54,62,52.5,57.30769230769231,64.42857142857143,9.0
9710,202968,178,65,2,3,High/Medium,Normal,58,49,58,60,62,66,72,71,54,58,60,69,68,51,55,23,65.0,64.76923076923077,56.285714285714285,8.6
9711,202970,182,83,2,3,Medium/Medium,Normal,36,52,24,60,50,66,65,74,41,54,64,53,45,35,58,63,57.0,59.69230769230769,65.14285714285714,9.4
9714,203127,179,75,2,3,Low/Medium,Normal,51,43,49,73,64,67,75,64,52,59,56,69,66,60,60,47,65.5,66.46153846153847,60.285714285714285,12.6
9716,203450,186,79,2,3,Medium/Medium,Lean,31,63,29,38,59,69,58,77,35,65,69,33,55,50,55,64,48.5,56.23076923076923,65.71428571428571,13.0
9717,203454,182,75,2,4,Medium/Medium,Normal,48,57,50,57,65,64,68,73,62,68,63,55,62,54,63,61,61.5,63.61538461538461,65.42857142857143,12.2
9718,203721,180,72,2,3,Medium/Medium,Normal,58,62,52,66,63,63,72,67,59,62,66,58,60,55,67,64,64.5,65.53846153846153,66.57142857142857,10.0
9720,203902,169,62,2,3,Low/Low,Normal,59,56,61,65,57,58,84,66,64,43,23,59,58,64,60,31,65.0,61.15384615384615,49.285714285714285,12.0
9722,203966,187,86,2,3,Medium/Medium,Normal,25,62,31,60,58,66,59,66,56,76,65,49,52,52,65,69,57.5,60.84615384615385,67.57142857142857,9.8
9724,204154,177,72,2,3,Medium/Medium,Normal,53,35,53,71,52,64,78,66,51,60,19,59,61,52,51,26,63.0,60.15384615384615,46.42857142857143,7.8
9730,204987,176,73,2,3,Medium/Low,Normal,56,40,44,68,56,65,82,70,53,57,40,63,64,47,59,43,64.0,63.23076923076923,55.857142857142854,10.6
9736,205609,179,73,2,3,Medium/Medium,Normal,33,68,36,58,66,64,62,75,51,71,62,56,58,53,70,62,59.5,61.92307692307692,64.0,12.8
9748,209223,172,68,2,4,Medium/Medium,Normal,46,50,42,65,63,70,71,80,58,71,62,59,64,44,65,58,62.0,66.15384615384616,64.71428571428571,12.6
9753,210205,185,85,2,3,Medium/High,Normal,30,62,30,66,59,65,43,73,56,76,60,57,51,33,57,67,59.5,63.15384615384615,67.85714285714286,10.2
9754,210304,176,69,2,3,Medium/Medium,Lean,34,49,60,67,53,64,80,63,58,41,27,64,70,56,58,36,61.5,61.15384615384615,48.0,8.4
9756,211044,178,77,2,5,High/Medium,Normal,46,52,50,70,59,69,63,71,57,58,66,46,72,57,61,51,61.5,64.84615384615384,64.71428571428571,9.2
9760,211742,182,75,2,3,Medium/Medium,Lean,46,57,51,64,70,62,73,70,57,69,52,60,67,54,59,53,63.0,64.38461538461539,60.285714285714285,8.8
9761,211828,187,80,2,3,Medium/Medium,Normal,38,65,26,36,57,58,62,64,38,65,59,30,30,42,50,65,48.0,50.61538461538461,62.714285714285715,9.8
9762,211859,186,78,2,4,High/High,Lean,22,62,23,62,48,62,62,80,40,67,62,34,37,30,61,64,52.5,56.84615384615385,66.57142857142857,9.8
9764,212047,180,78,2,3,Medium/Medium,Normal,60,67,42,49,62,65,60,61,72,75,66,66,62,61,65,65,64.0,63.53846153846154,66.42857142857143,8.4
9765,212971,175,70,2,3,Medium/Medium,Normal,53,48,30,63,67,62,61,85,59,53,60,58,66,37,67,62,61.0,65.15384615384616,64.85714285714286,11.8
9771,214014,171,67,2,3,Medium/Low,Normal,56,48,63,65,63,62,79,61,63,46,32,62,65,68,63,28,64.5,63.07692307692308,52.142857142857146,10.2
9772,214065,170,72,2,3,High/Medium,Normal,59,47,40,59,59,54,75,76,72,64,60,51,60,59,48,52,63.5,64.6923076923077,63.142857142857146,8.8
9776,214263,183,77,2,3,Medium/Medium,Normal,37,56,63,61,72,60,60,76,61,73,64,66,58,59,64,64,60.0,64.76923076923077,65.14285714285714,10.6
9778,214305,183,81,2,2,Medium/Medium,Lean,40,59,22,54,59,66,57,66,26,65,68,54,57,35,63,66,55.0,60.30769230769231,65.85714285714286,10.0
9781,214386,179,74,2,3,Medium/Medium,Lean,45,57,45,64,68,66,63,79,62,53,54,54,62,50,66,56,60.5,64.53846153846153,63.142857142857146,10.8
9782,214411,163,63,2,2,High/Low,Lean,59,47,41,66,65,58,77,63,67,54,39,65,66,40,49,48,65.0,64.15384615384616,55.285714285714285,10.4
9784,214486,175,75,2,3,Medium/Medium,Normal,49,50,29,59,55,61,69,77,49,77,65,54,48,35,52,66,58.5,61.46153846153846,66.14285714285714,10.6
9785,214487,178,80,2,2,Medium/Medium,Normal,31,62,45,61,59,71,63,74,50,73,66,39,58,44,48,65,56.5,61.46153846153846,65.28571428571429,11.4
9788,214720,170,77,2,3,High/High,Stocky,53,39,49,68,66,53,73,86,64,69,47,63,61,43,67,50,62.5,65.07692307692308,59.142857142857146,10.6
9792,215028,167,71,2,3,Medium/Medium,Normal,47,54,56,64,65,67,70,72,63,73,68,68,57,56,53,62,64.0,65.76923076923077,67.0,9.8
9794,215390,186,88,2,3,Medium/Medium,Stocky,49,59,35,46,62,68,60,59,55,74,66,43,51,40,63,58,57.0,58.76923076923077,63.285714285714285,12.4
9795,215527,184,74,2,3,Medium/Medium,Normal,22,64,21,54,59,61,58,71,23,71,66,38,50,43,62,62,49.0,57.23076923076923,65.28571428571429,13.0
9797,215584,190,80,2,3,High/Medium,Normal,58,59,61,64,62,62,46,78,61,31,57,59,58,41,56,68,63.0,64.23076923076923,65.0,9.8
9798,215942,184,74,2,3,Medium/High,Normal,41,55,36,62,65,61,65,67,40,86,64,53,64,35,65,61,56.5,61.69230769230769,63.142857142857146,12.2
9799,216182,183,81,2,3,Medium/High,Normal,54,60,42,55,62,62,62,68,68,76,61,40,56,42,68,64,56.5,61.46153846153846,64.14285714285714,9.4
9801,216269,180,75,2,3,Medium/Medium,Lean,31,52,45,61,61,64,73,67,50,62,60,50,48,65,56,64,56.5,61.61538461538461,66.14285714285714,10.2
9802,216351,180,73,2,3,Medium/Medium,Normal,59,61,64,64,67,67,68,59,66,73,64,66,73,70,70,53,66.0,67.53846153846153,63.714285714285715,11.8
9810,221360,172,70,2,3,Medium/Low,Lean,51,32,65,66,73,58,73,30,69,43,25,53,75,68,61,44,59.0,61.0,44.285714285714285,9.8
9811,221599,176,77,2,3,Medium/Medium,Stocky,54,66,21,66,64,55,79,60,13,39,66,23,26,49,53,69,54.0,58.23076923076923,66.71428571428571,9.4
9815,222798,179,70,2,3,Medium/Medium,Normal,55,58,40,65,61,61,73,73,69,63,67,65,58,45,61,56,65.5,66.15384615384616,65.85714285714286,11.4
9816,223130,169,70,2,4,Medium/Medium,Normal,48,46,54,68,72,69,84,53,63,50,52,59,65,72,50,59,63.0,65.61538461538461,61.0,10.6
9820,224316,180,76,2,2,High/Medium,Normal,46,57,30,59,56,66,58,79,38,58,63,55,57,37,66,65,58.0,61.76923076923077,65.71428571428571,9.2
9821,224648,183,66,2,3,Medium/Medium,Normal,26,59,48,54,61,65,64,71,32,74,62,62,61,44,51,65,57.0,61.15384615384615,66.0,9.8
9822,225013,193,87,2,2,Medium/Medium,Normal,46,72,44,56,64,66,34,57,56,62,70,62,54,49,63,65,59.0,61.15384615384615,65.42857142857143,9.8
9824,226005,172,72,2,2,Medium/Medium,Lean,55,43,55,66,65,57,66,70,64,61,64,56,56,63,59,66,62.0,65.53846153846153,65.0,11.8
9826,227612,179,72,2,3,Medium/Medium,Normal,57,48,44,66,67,62,61,66,65,44,59,68,62,44,56,62,65.0,65.92307692307692,63.0,9.8
9827,227675,178,74,2,2,Medium/Medium,Lean,51,44,54,68,53,58,71,72,54,38,38,54,58,53,62,54,63.5,63.23076923076923,59.857142857142854,11.2
9828,227810,175,72,2,3,Medium/Medium,Normal,58,45,42,63,64,68,75,81,57,63,57,57,68,48,61,45,62.5,65.61538461538461,61.0,10.8
9829,228971,188,78,2,3,Medium/Medium,Normal,43,58,35,57,64,78,50,66,49,56,74,36,65,61,70,60,56.5,61.0,64.71428571428571,12.6
9830,229384,185,79,2,5,High/Medium,Stocky,50,59,30,56,71,60,61,70,65,77,66,52,43,62,59,61,60.5,62.07692307692308,66.42857142857143,10.4
9832,230187,177,72,2,4,Medium/Medium,Normal,51,61,48,45,62,60,71,63,60,79,53,52,47,65,59,72,59.5,61.30769230769231,65.57142857142857,13.6
9836,230308,186,78,2,2,Medium/Low,Normal,38,69,37,55,36,67,52,65,42,49,64,58,56,45,58,71,57.5,58.38461538461539,66.42857142857143,9.8
9837,230447,178,77,2,3,Medium/High,Normal,34,45,22,33,54,68,68,64,40,67,75,24,62,55,63,71,47.0,55.92307692307692,65.57142857142857,15.6
9842,230866,175,65,2,2,Medium/Medium,Lean,52,40,35,77,60,61,76,47,46,50,47,51,70,37,52,47,61.5,63.23076923076923,54.857142857142854,8.4
9844,231885,178,78,2,2,High/Medium,Normal,48,48,56,70,71,60,67,67,56,63,66,62,67,63,66,62,63.5,67.38461538461539,65.71428571428571,6.6
9847,232489,168,64,2,2,Medium/Medium,Lean,59,39,53,69,52,61,67,44,62,46,63,65,59,59,57,60,64.5,64.15384615384616,60.142857142857146,9.2
9852,232718,170,67,2,4,Medium/High,Normal,54,54,30,53,60,56,76,92,63,69,66,50,59,39,61,64,58.0,62.30769230769231,64.42857142857143,9.8
9857,232852,177,70,2,3,Medium/High,Normal,54,58,46,61,65,67,64,82,62,67,70,61,60,56,60,68,62.5,65.61538461538461,68.57142857142857,9.6
9859,233145,173,65,2,3,Medium/Medium,Lean,54,40,58,70,62,66,77,75,67,75,62,61,58,54,60,56,64.5,67.53846153846153,64.28571428571429,9.8
9860,234006,173,71,2,2,Medium/High,Stocky,44,55,57,48,62,76,73,86,50,77,72,47,42,50,55,65,57.0,59.15384615384615,68.0,14.0
9861,234751,178,76,2,3,Medium/Medium,Normal,53,60,55,65,64,66,74,82,70,74,64,52,61,53,55,65,64.0,65.76923076923077,67.0,11.6
9862,234839,178,70,2,3,Medium/High,Normal,45,69,32,63,60,64,68,70,41,75,72,51,49,51,60,64,58.5,62.23076923076923,67.28571428571429,9.2
9865,236166,172,71,2,3,Medium/High,Normal,50,51,62,65,53,60,73,61,70,60,70,67,59,67,72,62,65.0,65.07692307692308,59.857142857142854,10.4
9866,236168,168,64,2,3,High/Medium,Lean,54,69,49,67,54,72,70,67,54,61,54,60,68,68,70,40,65.5,63.30769230769231,55.42857142857143,12.0
9867,236174,182,75,2,3,Medium/Medium,Normal,60,55,53,65,43,55,51,60,59,29,22,58,70,68,52,22,64.5,60.46153846153846,45.142857142857146,14.0
9870,237745,182,72,2,3,Medium/Medium,Lean,43,41,42,64,69,55,68,80,37,53,62,44,61,49,68,53,57.0,63.69230769230769,62.0,10.0
9872,237784,178,73,2,2,High/Medium,Normal,51,39,41,65,63,64,70,74,36,46,55,63,45,34,51,66,61.0,63.30769230769231,63.714285714285715,9.6
9874,238599,173,69,2,3,High/High,Normal,58,52,47,65,45,67,84,88,61,80,22,59,58,47,55,44,64.5,61.92307692307692,55.42857142857143,11.8
9876,238649,188,84,2,4,Medium/Medium,Stocky,60,49,30,62,70,66,56,57,58,72,62,64,62,43,60,62,62.0,64.53846153846153,62.714285714285715,9.0
9878,239135,187,79,2,3,Medium/Medium,Normal,59,55,50,64,65,64,63,65,62,56,62,55,67,57,65,56,62.5,64.53846153846153,61.285714285714285,13.0
9879,239724,192,81,2,2,Medium/Medium,Normal,19,65,27,29,60,58,58,67,16,68,68,27,38,34,68,59,42.5,50.23076923076923,61.285714285714285,9.0
9880,241043,186,78,2,3,Medium/Medium,Normal,46,74,44,59,62,62,48,68,44,83,65,56,60,47,58,63,59.5,61.76923076923077,66.85714285714286,10.4
9881,243553,172,71,2,5,High/High,Normal,60,45,30,61,58,62,72,80,48,75,64,60,63,44,69,65,62.5,64.6923076923077,65.57142857142857,11.0
9884,246334,186,77,2,3,Medium/Medium,Normal,28,68,36,39,38,59,67,74,28,64,64,34,37,50,51,70,45.5,48.07692307692308,64.14285714285714,13.0
9888,247378,166,59,2,3,High/Medium,Lean,60,34,48,62,58,61,84,64,53,29,46,56,59,51,58,19,62.0,61.30769230769231,48.57142857142857,9.6
9896,246669,178,70,2,4,High/High,Normal,60,45,55,66,44,56,78,65,59,64,40,61,62,58,70,29,64.0,60.23076923076923,51.0,10.0
9898,247377,168,65,2,2,Medium/Medium,Lean,54,53,43,64,71,58,78,71,37,30,32,71,73,47,67,42,64.0,64.76923076923077,53.142857142857146,12.6
9899,242602,187,86,2,4,High/Medium,Normal,39,45,25,67,42,63,66,72,35,62,58,48,44,32,50,55,57.5,61.07692307692308,65.0,11.4
9905,244497,171,65,2,3,High/Medium,Lean,58,34,53,69,47,67,83,52,43,26,23,65,58,50,66,28,63.0,58.76923076923077,42.714285714285715,11.0
9912,233276,178,64,2,4,Medium/Low,Lean,60,54,52,67,66,60,83,64,62,38,39,66,69,53,67,38,65.5,64.53846153846153,53.57142857142857,10.4
9914,239838,181,70,2,3,Medium/Medium,Lean,55,41,45,67,60,57,71,65,48,36,23,67,68,48,59,23,62.5,61.23076923076923,46.285714285714285,8.8
9915,240097,172,70,2,3,High/High,Lean,44,58,32,63,67,63,77,72,56,82,68,56,56,48,63,69,60.5,65.61538461538461,68.0,11.2
9917,240661,175,68,2,4,Medium/Low,Lean,57,40,57,70,61,54,70,62,59,20,11,52,65,58,57,30,60.5,59.46153846153846,43.142857142857146,11.2
9919,242534,175,68,2,3,Medium/Medium,Normal,43,44,46,68,68,59,78,68,41,61,63,58,62,48,65,57,60.0,64.6923076923077,62.42857142857143,11.4
9923,246785,175,65,2,3,High/Medium,Lean,60,34,62,72,51,59,74,41,58,32,21,60,56,47,70,22,62.5,58.07692307692308,41.57142857142857,9.8
9927,228646,177,70,2,3,Medium/Medium,Normal,58,46,42,70,62,52,69,74,54,38,36,52,50,51,54,26,62.5,60.53846153846154,48.42857142857143,10.0
9929,234317,172,58,2,2,Medium/Medium,Lean,50,31,51,67,67,54,84,52,58,56,28,57,62,52,55,23,59.5,59.61538461538461,42.714285714285715,9.8
9930,235824,174,70,2,2,Medium/High,Lean,41,64,21,51,62,63,74,63,53,68,65,42,48,49,64,64,55.0,59.07692307692308,64.42857142857143,9.8
9934,240442,177,64,2,3,Medium/Medium,Lean,58,39,52,70,56,63,78,55,55,41,19,63,61,57,67,27,63.0,60.07692307692308,44.0,8.6
9936,241929,172,69,2,3,Medium/Medium,Lean,29,51,27,63,44,61,70,68,34,55,68,56,52,46,61,66,54.0,59.92307692307692,64.71428571428571,11.0
9937,242794,178,65,2,3,Medium/Medium,Lean,55,48,44,67,62,61,77,61,53,55,54,65,66,56,65,49,64.0,65.0,58.42857142857143,7.8
9938,242999,177,66,2,3,Medium/Medium,Lean,60,49,53,70,66,65,69,43,63,48,49,60,69,63,67,56,64.0,64.46153846153847,56.57142857142857,10.8
9941,245351,175,76,2,2,Medium/Medium,Normal,59,55,34,68,53,62,73,78,42,66,39,58,49,42,59,39,63.0,61.0,56.285714285714285,9.4
9942,245715,168,65,2,2,High/Medium,Lean,39,44,31,68,63,57,86,76,42,70,62,59,63,36,65,57,60.0,65.84615384615384,64.14285714285714,11.8
9943,246081,169,57,2,2,Medium/Medium,Lean,58,40,45,67,55,52,89,70,48,50,36,64,60,60,58,35,62.5,60.84615384615385,52.0,12.2
9947,235563,177,75,2,3,Medium/Medium,Lean,59,43,66,66,55,52,76,66,53,41,18,63,60,61,54,20,62.5,59.76923076923077,44.714285714285715,7.2
9951,239701,174,73,2,3,High/Medium,Normal,59,33,48,72,58,52,80,69,60,23,26,54,60,48,62,28,62.5,60.07692307692308,45.0,7.6
9952,239986,183,75,2,3,Medium/Medium,Lean,48,55,36,60,65,59,64,72,49,69,57,48,71,49,66,59,59.5,63.76923076923077,62.857142857142854,11.4
9953,240611,175,63,2,3,High/High,Lean,48,53,42,65,64,60,81,84,60,66,63,57,64,52,67,60,63.0,65.61538461538461,65.57142857142857,11.2
9955,241071,167,63,2,3,High/Medium,Lean,56,54,59,68,60,65,92,67,58,66,54,63,64,58,70,49,64.0,64.84615384615384,59.57142857142857,10.0
9957,242110,178,71,2,3,Medium/Medium,Lean,58,46,50,72,57,58,67,57,52,40,33,64,59,52,68,40,63.5,61.38461538461539,51.0,12.2
9962,248174,181,72,2,4,Medium/Medium,Normal,58,49,52,74,56,60,75,59,51,55,28,54,61,59,58,44,63.0,61.30769230769231,51.42857142857143,10.8
9967,233743,174,69,2,4,Medium/Medium,Normal,53,44,55,72,53,53,81,43,66,60,32,58,57,45,60,30,63.0,60.15384615384615,48.0,10.8
9968,233887,186,73,2,3,Low/Medium,Normal,34,63,30,54,59,60,53,73,45,60,58,48,66,38,69,58,56.5,61.69230769230769,63.57142857142857,8.8
9971,238461,192,80,2,3,Medium/Medium,Lean,51,72,32,64,62,63,55,64,60,60,60,59,61,45,59,51,62.5,63.46153846153846,61.857142857142854,10.8
9976,240513,187,75,2,3,Medium/High,Normal,58,64,54,62,64,63,60,71,72,75,55,56,63,50,64,53,65.0,64.46153846153847,61.714285714285715,8.6
9977,240694,183,76,2,3,Medium/Medium,Lean,46,66,45,65,63,63,67,75,51,65,56,63,61,45,47,55,62.5,64.15384615384616,63.42857142857143,10.0
9978,242577,180,69,2,3,Medium/Medium,Lean,49,55,34,64,65,62,68,67,56,53,62,52,67,53,59,56,60.5,64.3076923076923,62.0,13.8
9980,244973,180,68,2,4,High/Medium,Lean,45,59,60,68,70,66,65,72,63,48,44,57,66,55,62,29,63.5,64.15384615384616,54.142857142857146,9.8
9981,245251,186,76,2,3,Medium/High,Lean,28,56,22,61,67,58,62,64,31,58,64,49,47,37,55,65,53.5,60.46153846153846,65.42857142857143,9.8
9983,247370,175,75,2,3,Medium/Medium,Normal,50,40,60,70,67,47,75,52,59,50,31,55,69,50,55,33,61.5,61.76923076923077,49.142857142857146,10.2
9984,251145,164,60,2,2,Medium/Medium,Lean,49,45,49,69,65,55,87,56,55,45,37,53,57,60,49,45,61.0,61.30769230769231,51.142857142857146,9.0
9987,228651,180,77,2,3,Medium/Medium,Normal,51,52,54,67,60,66,64,62,51,60,59,57,49,53,59,64,62.0,63.84615384615385,64.42857142857143,11.6
9989,229910,189,83,2,3,Medium/Medium,Normal,50,39,52,68,68,60,44,35,58,58,52,62,62,48,64,52,63.0,65.15384615384616,58.857142857142854,10.6
9990,233017,183,80,2,3,Low/Medium,Normal,34,49,30,57,65,67,59,74,61,62,63,64,69,43,55,54,57.5,62.69230769230769,60.714285714285715,12.8
9993,236586,177,63,2,4,High/High,Lean,55,47,53,67,53,62,74,92,48,70,55,65,63,49,57,54,63.5,65.07692307692308,63.714285714285715,10.6
9997,239215,181,76,2,3,High/Medium,Lean,50,50,55,72,55,64,72,60,58,43,25,56,64,56,62,43,63.5,61.23076923076923,50.0,10.8
9999,240797,175,68,2,4,Medium/Medium,Lean,58,54,53,67,65,57,80,58,56,56,38,59,62,55,59,47,63.0,62.76923076923077,54.857142857142854,9.2
10000,241006,173,65,2,2,Medium/Low,Lean,60,44,46,70,41,57,76,64,45,30,18,62,58,62,62,20,63.5,58.84615384615385,45.57142857142857,10.6
10001,246562,176,72,2,3,High/Medium,Lean,54,53,46,65,38,56,76,89,51,31,56,56,49,45,47,52,63.0,61.07692307692308,62.285714285714285,8.0
10002,247912,171,63,2,3,Medium/Medium,Normal,51,34,37,66,47,62,66,61,39,34,18,65,68,49,57,37,60.0,59.07692307692308,46.0,12.0
10005,221346,189,72,2,4,Medium/Medium,Lean,49,43,40,75,51,57,63,55,55,31,22,56,65,50,60,29,63.0,59.84615384615385,44.857142857142854,11.8
10008,229725,187,77,2,3,Medium/Medium,Lean,59,48,57,67,53,57,72,69,65,42,39,64,62,45,58,42,64.0,61.61538461538461,54.0,11.2
10010,229760,167,64,2,3,Medium/Medium,Lean,57,41,48,71,52,55,85,80,56,37,31,49,48,44,53,34,61.5,59.76923076923077,50.42857142857143,9.2
10015,235167,184,79,2,3,High/High,Lean,40,53,38,63,67,62,69,74,57,68,67,46,60,52,62,57,58.5,63.53846153846154,64.42857142857143,8.0
10017,235937,186,74,2,3,Medium/Medium,Lean,45,50,55,66,72,65,67,62,60,55,40,52,64,61,68,64,62.0,64.84615384615384,60.714285714285715,10.8
10018,236492,180,75,2,3,Medium/Medium,Lean,58,42,48,65,62,59,63,67,56,42,40,58,64,54,61,34,62.5,62.38461538461539,50.42857142857143,9.8
10019,237490,168,65,2,2,Medium/High,Normal,45,28,46,64,67,62,91,85,36,68,61,52,63,49,66,62,57.5,64.92307692307692,62.0,9.2
10020,237499,186,80,2,4,Medium/Medium,Normal,60,68,41,76,50,63,63,65,59,53,28,57,54,57,64,39,65.0,60.23076923076923,51.285714285714285,9.6
10021,239145,184,71,2,3,Medium/Medium,Lean,38,62,44,62,67,63,59,70,50,59,64,61,58,51,59,62,61.0,64.07692307692308,65.42857142857143,11.6
10022,239629,182,74,2,3,Medium/Medium,Normal,58,54,49,66,70,60,61,52,49,60,53,62,65,55,55,52,64.0,64.76923076923077,58.857142857142854,8.8
10029,243641,184,78,2,4,Medium/Medium,Normal,60,56,63,71,60,55,64,53,65,47,35,60,63,61,63,31,65.5,61.30769230769231,48.42857142857143,9.6
10030,243705,171,65,2,3,Medium/Medium,Normal,54,38,52,70,60,73,81,62,58,40,28,57,63,60,55,36,62.0,60.84615384615385,47.714285714285715,7.8
10033,245459,178,72,2,4,High/Medium,Lean,34,61,52,66,70,63,72,51,57,62,43,62,69,50,63,59,61.5,63.84615384615385,58.42857142857143,9.4
10036,247112,180,70,2,3,Medium/Medium,Normal,41,57,46,64,73,56,67,59,60,58,52,47,64,44,65,56,59.0,64.0,61.42857142857143,10.0
10047,227329,180,70,2,3,Medium/Medium,Lean,58,55,38,70,66,58,63,32,56,42,29,57,55,56,46,23,63.0,60.61538461538461,45.714285714285715,10.2
10048,227920,179,72,2,3,High/Medium,Lean,59,34,49,74,43,51,77,63,48,33,21,58,49,47,57,24,62.0,58.46153846153846,45.0,10.8
10049,228318,172,70,2,3,Medium/Low,Lean,56,45,59,72,59,58,72,64,59,50,30,59,66,54,57,32,62.5,61.15384615384615,47.57142857142857,12.4
10050,231614,187,80,2,4,High/Medium,Lean,60,68,43,64,45,64,60,65,57,55,38,62,58,70,53,28,66.0,60.53846153846154,53.0,9.6
10051,232057,167,58,2,3,Medium/Low,Lean,58,33,58,70,52,52,87,59,54,36,26,44,67,36,53,30,59.0,59.69230769230769,46.0,12.4
10053,235268,176,72,2,3,Medium/Medium,Normal,59,41,51,64,61,57,73,39,64,32,38,55,68,61,58,39,61.0,60.15384615384615,47.142857142857146,11.0
10056,236629,183,78,2,3,Medium/Medium,Normal,41,57,51,67,58,61,63,71,58,56,57,54,57,60,59,63,61.0,63.46153846153846,64.28571428571429,12.2
10057,236822,180,72,2,2,Medium/Medium,Normal,56,36,52,65,49,62,68,72,47,40,30,54,55,46,59,28,61.5,59.23076923076923,49.42857142857143,8.6
10058,236843,165,64,2,3,High/Medium,Stocky,58,53,59,69,52,57,84,36,62,39,29,61,64,68,58,36,64.0,60.15384615384615,49.857142857142854,8.4
10061,238320,179,74,2,3,High/Medium,Lean,59,38,37,67,65,57,66,84,66,38,39,57,68,60,60,37,64.0,64.76923076923077,55.285714285714285,13.0
10062,238786,187,77,2,4,High/Medium,Lean,58,58,47,62,65,64,61,65,55,56,51,55,65,55,54,44,62.5,63.76923076923077,59.42857142857143,10.0
10063,239312,179,71,2,2,Medium/High,Lean,56,61,47,65,61,62,65,73,62,49,67,53,61,52,64,60,63.5,64.53846153846153,66.0,12.2
10066,239945,164,64,2,4,Medium/Medium,Lean,51,50,52,65,66,63,91,59,60,57,56,53,67,56,66,55,62.5,65.0,61.142857142857146,10.2
10067,240729,179,68,2,3,Medium/Medium,Normal,52,38,44,65,69,61,70,62,56,31,61,53,53,51,57,68,60.0,65.15384615384616,64.14285714285714,9.6
10069,241140,182,72,2,3,Medium/Medium,Lean,49,56,42,62,65,59,64,64,54,58,65,47,55,39,63,63,59.0,63.69230769230769,63.57142857142857,6.4
10070,241538,182,67,2,3,High/Medium,Normal,41,53,48,60,58,64,65,68,49,68,62,51,58,43,54,63,58.5,62.0,64.42857142857143,7.4
10078,244235,169,72,2,3,Medium/Medium,Stocky,57,42,54,69,47,58,88,64,55,53,28,57,51,47,62,26,63.0,59.0,48.857142857142854,11.4
10080,244530,175,70,2,3,High/Medium,Normal,42,55,41,66,57,61,72,68,47,60,53,53,56,47,59,66,59.5,61.53846153846154,63.714285714285715,10.6
10082,244948,185,77,2,3,High/High,Lean,36,60,35,54,56,63,57,72,33,70,62,32,51,52,50,64,53.5,59.07692307692308,65.14285714285714,12.4
10084,246256,180,75,2,3,Medium/Medium,Normal,38,52,31,55,64,63,68,67,42,61,62,41,54,41,52,67,54.5,60.76923076923077,64.0,10.2
10085,246927,170,70,2,3,High/Medium,Normal,58,46,65,68,43,58,83,65,67,35,22,60,57,59,49,23,64.5,57.76923076923077,44.0,10.0
10086,247480,170,57,2,3,High/Medium,Lean,57,55,58,68,48,60,88,62,48,46,18,58,55,54,61,26,63.0,57.30769230769231,43.857142857142854,10.0
10087,247793,177,70,2,3,Medium/Medium,Lean,52,65,44,70,63,65,73,62,51,72,60,62,66,52,70,59,64.5,65.92307692307692,63.857142857142854,10.4
10088,247972,176,70,2,2,Medium/Medium,Normal,48,36,43,70,58,57,73,59,67,43,29,65,67,61,61,37,61.0,60.69230769230769,47.285714285714285,11.2
10090,251885,165,67,2,3,High/Low,Normal,57,48,53,68,58,54,85,55,54,45,34,54,61,47,64,37,62.5,60.61538461538461,49.714285714285715,10.4
